issue_type,location_type,duration_days,description,priority
garbage,alley,7,Illegal dumping near drainage. hazardous hazardous,high
pothole,alley,1,Multiple potholes across the lane,low
drainage,residential,1,Sewage backup overflowing onto street,high
streetlight,alley,17,"Streetlight intermittent, safety concern",medium
drainage,main_road,0,"Drain clogged, water overflowing onto road",high
streetlight,alley,4,"Streetlight not working at night, area dark. needs quick fix",medium
pothole,alley,1,Multiple potholes across the lane,low
garbage,highway,0,Pile of household waste blocking pedestrian path. needs quick fix,high
drainage,alley,0,Sewage backup overflowing onto street. urgent,high
streetlight,highway,1,Light out on the main road intersection. hazardous,high
drainage,main_road,14,Standing water near drain after rain. hazardous not urgent,high
streetlight,highway,2,Pole lamp broken and leaning,high
pothole,residential,21,"Pothole filled with water, hidden hazard",high
drainage,highway,6,Sewage backup overflowing onto street. not urgent,high
pothole,residential,4,Deep pothole causing vibration to vehicles,medium
streetlight,highway,6,"Flickering streetlight, sparks visible. urgent",high
pothole,main_road,5,Multiple potholes across the lane,medium
streetlight,residential,9,"Flickering streetlight, sparks visible. low priority",high
pothole,highway,2,Small pothole near the curb. needs quick fix,low
pothole,alley,3,"Large pothole on the road, car damage likely. hazardous",high
garbage,alley,15,Pile of household waste blocking pedestrian path,high
drainage,highway,20,Sewage backup overflowing onto street,high
pothole,highway,15,"Pothole filled with water, hidden hazard",high
garbage,main_road,3,Illegal dumping near drainage,high
garbage,main_road,10,"Garbage dumped near sidewalk, attracting animals. causing accidents",high
pothole,residential,4,Multiple potholes across the lane. hazardous,high
drainage,residential,4,"Drain clogged, water overflowing onto road",high
streetlight,alley,1,Light out on the main road intersection,low
garbage,highway,6,"Overflowing garbage bin, foul smell",high
drainage,residential,1,Standing water near drain after rain. hazardous,high
garbage,alley,2,Illegal dumping near drainage. hazardous,high
streetlight,main_road,13,"Flickering streetlight, sparks visible. please fix soon",high
garbage,main_road,1,"Garbage dumped near sidewalk, attracting animals",low
pothole,residential,0,"Pothole filled with water, hidden hazard. immediate attention needed",low
streetlight,main_road,0,"Streetlight intermittent, safety concern",low
garbage,main_road,19,Scattered trash on street after collection missed. hazardous,high
drainage,main_road,4,Standing water near drain after rain,high
streetlight,highway,3,"Flickering streetlight, sparks visible",high
pothole,alley,11,Small pothole near the curb. needs quick fix,high
garbage,residential,12,"Overflowing garbage bin, foul smell",high
streetlight,residential,2,"Flickering streetlight, sparks visible. please fix soon",high
pothole,highway,8,"Large pothole on the road, car damage likely",high
drainage,highway,10,"Open drainage cover, dangerous for pedestrians",high
drainage,residential,7,"Drain clogged, water overflowing onto road. low priority",high
streetlight,highway,1,Pole lamp broken and leaning. immediate attention needed,high
streetlight,main_road,14,"Streetlight not working at night, area dark. hazardous",high
drainage,alley,5,Drainage blocked with garbage and leaves,high
pothole,main_road,2,"Pothole filled with water, hidden hazard",low
pothole,residential,3,Deep pothole causing vibration to vehicles,medium
pothole,residential,0,"Large pothole on the road, car damage likely. low priority",low
garbage,highway,0,Illegal dumping near drainage,low
drainage,alley,10,"Drain clogged, water overflowing onto road. hazardous",high
streetlight,alley,0,"Flickering streetlight, sparks visible",high
garbage,alley,3,"Overflowing garbage bin, foul smell",high
garbage,alley,5,Illegal dumping near drainage,medium
drainage,main_road,0,Drainage blocked with garbage and leaves,low
streetlight,residential,25,"Streetlight intermittent, safety concern",medium
streetlight,residential,1,"Flickering streetlight, sparks visible",high
pothole,highway,2,"Pothole filled with water, hidden hazard. urgent",low
pothole,highway,2,Deep pothole causing vibration to vehicles,low
drainage,main_road,1,"Drain clogged, water overflowing onto road. immediate attention needed",high
streetlight,residential,0,"Streetlight not working at night, area dark. low priority",low
pothole,main_road,9,"Pothole filled with water, hidden hazard",high
pothole,residential,23,Small pothole near the curb. not urgent,high
garbage,main_road,1,Pile of household waste blocking pedestrian path,high
drainage,alley,7,Drainage blocked with garbage and leaves,high
streetlight,alley,9,"Flickering streetlight, sparks visible. hazardous",high
streetlight,residential,13,"Flickering streetlight, sparks visible. causing accidents",high
drainage,highway,3,"Open drainage cover, dangerous for pedestrians. immediate attention needed hazardous",high
pothole,residential,2,Multiple potholes across the lane. not urgent,low
pothole,main_road,2,"Pothole filled with water, hidden hazard. hazardous",high
garbage,residential,8,"Overflowing garbage bin, foul smell",high
garbage,highway,11,Pile of household waste blocking pedestrian path. hazardous,high
garbage,alley,1,Scattered trash on street after collection missed. low priority,low
streetlight,alley,3,"Flickering streetlight, sparks visible. urgent",high
pothole,alley,16,"Pothole filled with water, hidden hazard",high
pothole,alley,11,"Large pothole on the road, car damage likely",high
garbage,highway,29,Pile of household waste blocking pedestrian path. needs quick fix,high
drainage,alley,9,"Open drainage cover, dangerous for pedestrians",high
drainage,highway,3,Standing water near drain after rain. hazardous,high
drainage,alley,6,"Open drainage cover, dangerous for pedestrians",high
streetlight,highway,7,Pole lamp broken and leaning. hazardous,high
drainage,residential,0,Standing water near drain after rain,low
drainage,residential,5,Sewage backup overflowing onto street,high
pothole,alley,8,"Pothole filled with water, hidden hazard",medium
drainage,main_road,1,Drainage blocked with garbage and leaves. urgent,low
streetlight,residential,10,"Streetlight intermittent, safety concern",medium
pothole,main_road,6,"Pothole filled with water, hidden hazard",medium
garbage,highway,21,"Garbage dumped near sidewalk, attracting animals",high
drainage,highway,0,Standing water near drain after rain. needs quick fix,low
garbage,highway,2,"Garbage dumped near sidewalk, attracting animals",low
streetlight,main_road,6,"Streetlight intermittent, safety concern",medium
drainage,main_road,2,"Open drainage cover, dangerous for pedestrians. immediate attention needed low priority",low
garbage,highway,8,Illegal dumping near drainage. urgent,medium
streetlight,alley,9,"Streetlight intermittent, safety concern",medium
garbage,alley,0,Scattered trash on street after collection missed,low
streetlight,residential,5,"Flickering streetlight, sparks visible. not urgent",high
pothole,main_road,4,"Large pothole on the road, car damage likely. please fix soon",medium
garbage,highway,3,Illegal dumping near drainage,medium
pothole,alley,18,"Large pothole on the road, car damage likely. hazardous",high
pothole,highway,12,Deep pothole causing vibration to vehicles,high
streetlight,highway,8,"Streetlight not working at night, area dark. needs quick fix",high
drainage,highway,8,Sewage backup overflowing onto street,high
garbage,alley,4,"Overflowing garbage bin, foul smell. needs quick fix immediate attention needed",high
drainage,alley,17,"Drain clogged, water overflowing onto road",high
pothole,main_road,8,Deep pothole causing vibration to vehicles. needs quick fix,high
drainage,highway,9,"Drain clogged, water overflowing onto road",high
pothole,highway,13,"Large pothole on the road, car damage likely. immediate attention needed hazardous",high
pothole,highway,2,Multiple potholes across the lane,low
streetlight,alley,11,"Flickering streetlight, sparks visible. causing accidents causing accidents",high
garbage,alley,1,Scattered trash on street after collection missed. urgent,low
garbage,residential,2,Illegal dumping near drainage. please fix soon,low
pothole,residential,2,"Large pothole on the road, car damage likely",low
drainage,residential,26,"Drain clogged, water overflowing onto road",high
drainage,main_road,13,Sewage backup overflowing onto street. hazardous causing accidents,high
streetlight,residential,8,Light out on the main road intersection. urgent,medium
drainage,residential,9,"Open drainage cover, dangerous for pedestrians",high
pothole,highway,5,Deep pothole causing vibration to vehicles. please fix soon,medium
drainage,alley,20,Standing water near drain after rain,high
garbage,residential,4,"Garbage dumped near sidewalk, attracting animals. urgent",medium
pothole,main_road,3,"Large pothole on the road, car damage likely. needs quick fix",medium
garbage,highway,1,Scattered trash on street after collection missed,low
garbage,residential,10,"Overflowing garbage bin, foul smell. urgent",high
pothole,alley,9,"Pothole filled with water, hidden hazard. causing accidents",high
drainage,main_road,3,Standing water near drain after rain,medium
pothole,residential,0,Small pothole near the curb. hazardous,high
pothole,main_road,12,Small pothole near the curb. urgent low priority,high
garbage,alley,0,Illegal dumping near drainage,low
streetlight,alley,8,Pole lamp broken and leaning,medium
streetlight,residential,24,Pole lamp broken and leaning,medium
